player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Ajeet,7,0.0,Tamil Thalaivas,2512,14,7.0,"Defender, right cover",0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,14.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,0.5399035731353161,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.3461635025046484,-0.18964269482277313
Ajinkya Ashok Pawar,7,8.0,Jaipur Pink Panthers,2475,12,8.0,Raider,0.0,1.55,17.0,14.0,3.0,0.0,1.0,1.0,0.24,17.0,1.013721662708438,-0.44714607015407415,0.20454165653584327,0.191005158489241,0.22336834717619122,-0.379391700041033,-0.3118428343415906,0.4821462042974862,-0.050289801273326475,-0.5533105477805853,-0.08119346843395583
Ajinkya Rohidas Kapre,7,0.0,U Mumba,2025,2,1.0,All Rounder,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.42411688546333065,-0.3960628368101539,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6595893425076481
Ajit Singh,6,2.0,Jaipur Pink Panthers,648,6,8.0,Raider,0.0,1.5,9.0,7.0,0.0,0.0,1.0,0.0,0.0,9.0,-0.16471028553489228,-0.44714607015407415,0.17794307865963963,-0.11655586348704482,-0.11017152112414846,-0.6551802819939377,-0.3118428343415906,0.4821462042974862,-0.7292021184632329,-0.8373549847127643,-0.37039140547080196
Ajvender Singh,5,0.0,U.P. Yoddha,705,2,8.0,Raider,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6595893425076481
Akshay Jadhav,6,5.0,Puneri Paltan,365,18,8.0,Raider,1.0,1.56,28.0,25.0,12.0,0.0,1.0,1.0,0.72,41.0,0.4245056885867729,0.48667279458758345,0.20986137211108402,0.613901563706634,0.747502425933868,0.44797404581768124,-0.3118428343415906,0.4821462042974862,-0.050289801273326475,0.01477832608377279,0.7864003426765825
Aman,7,0.0,Bengaluru Bulls,2501,1,3.0,"Defender, left corner",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6595893425076481
Aman Kadian,7,0.0,Dabang Delhi K.C.,2474,2,8.0,Raider,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.3856717577162949,-0.3960628368101539,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6234396003780424
Aman Kumar,2,0.0,Patna Pirates,206,4,4.0,"Defender, left cover",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.24559574110405796,-0.6234396003780424
Amit,7,0.0,U.P. Yoddha,2020,14,4.0,"Defender, left cover",0.0,0.33,2.0,1.0,16.0,0.0,0.0,2.0,1.29,20.0,-0.5575209349493357,-0.44714607015407415,-0.4444636436435254,-0.3856717577162949,-0.3960628368101539,0.815692155088221,-0.3118428343415906,-0.5029957698887288,0.6286225159165799,0.6893838637976981,0.02725575795486146
