team_name,season,allouts_conceded,team_id,match_played,allouts_inflicted,avg_points_scored,avg_raid_points,avg_tackle_points,conceded_points,do_or_die_points,points_scored,raid_points,successful_raids,successful_tackles,super_raids,super_tackles,tackle_points,z_score_allouts_conceded,z_score_allouts_inflicted,z_score_avg_points_scored,z_score_avg_raid_points,z_score_avg_tackle_points,z_score_conceded_points,z_score_do_or_die_points,z_score_points_scored,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_raids,z_score_super_tackles,z_score_tackle_points
Bengal Warriors,7,13.0,4,16,24.0,29.56,19.88,9.69,475.0,46.0,547.0,318.0,256.0,145.0,12.0,12.0,155.0,-1.0987798110498443,1.537015324381169,1.1618418738469594,1.2669742521499956,-0.6483844639049205,0.515612763816646,0.020324836863813252,1.7545588210004486,1.6617916801884034,1.6512342056438294,1.3582531641563242,1.9710887647370559,-0.5537944488960237,0.549652729178084
Bengaluru Bulls,7,19.0,1,16,17.0,30.37,20.13,10.25,530.0,35.0,544.0,322.0,256.0,141.0,6.0,25.0,164.0,1.0987798110498443,0.19212691554764613,1.604882400084405,1.3893478115978382,0.14095314432715586,2.143863596921842,-1.3211143961478804,1.6956919826444223,1.7660609620825778,1.6512342056438294,0.8324777457732314,0.05327266931721782,1.7196774992034423,1.341152659194525
Dabang Delhi K.C.,7,11.0,2,14,22.0,29.78,20.71,9.07,440.0,35.0,496.0,290.0,242.0,122.0,6.0,7.0,127.0,-1.831299685083074,1.152761493285877,1.2821738686275013,1.6732544695168339,-1.5222939587332889,-0.5205468572502969,-1.3211143961478804,0.7538225689480028,0.9319067069291831,1.1949721225054029,-1.6649554915464593,0.05327266931721782,-1.4282067366265876,-1.9127914975397324
Gujarat Fortunegiants,7,14.0,31,14,13.0,25.42,15.36,10.07,396.0,44.0,402.0,215.0,176.0,128.0,4.0,13.0,141.0,-0.7325198740332296,-0.5763807466429385,-1.1025874824777553,-0.9455397026669977,-0.1127625154617252,-1.8231475237344537,-0.22357320550194926,-1.0906716995408188,-1.0231423285865857,-0.9559776980043229,-0.87629236397182,-0.5859993624893949,-0.3789119913499109,-0.6815693841808242
Haryana Steelers,7,15.0,28,14,19.0,29.14,18.57,10.57,435.0,47.0,464.0,260.0,203.0,138.0,10.0,10.0,148.0,-0.3662599370166148,0.5763807466429385,0.9321171565386559,0.6257368006433012,0.5920032061740567,-0.6685696602598602,0.1422738580466945,0.1259096264837231,0.14988709272287562,-0.07604368052307142,0.4381461819859119,1.3318167329304433,-0.9035593639882492,-0.06595832750137008
Jaipur Pink Panthers,7,14.0,3,15,15.0,26.46,15.53,10.93,452.0,57.0,452.0,233.0,185.0,142.0,5.0,23.0,164.0,-0.7325198740332296,-0.19212691554764613,-0.5337453253333826,-0.8623256822424649,1.0994345257518188,-0.16529213002734508,1.361764069875507,-0.10955772694038177,-0.5539305600628012,-0.6626663588439057,0.9639216003690046,-0.2663633465860885,1.3699125841112167,1.341152659194525
Patna Pirates,7,17.0,6,15,20.0,27.53,17.27,10.27,484.0,55.0,470.0,259.0,211.0,133.0,9.0,21.0,154.0,0.3662599370166148,0.7685076621905845,0.05150574019015538,-0.010605708485480477,0.16914377319258656,0.7820538092338598,1.1178660275097445,0.24364330319577557,0.12381977224933202,0.1846775098417438,-0.21907309099295408,1.0121807170271369,1.0201476690189912,0.4617082925095906
Puneri Paltan,7,20.0,7,14,11.0,27.35,16.14,11.21,458.0,50.0,424.0,226.0,185.0,141.0,3.0,16.0,157.0,1.4650397480664592,-0.9606345777382307,-0.04694771008483213,-0.5637341971897284,1.4941033298678583,0.012335233584130833,0.5081209215953383,-0.6589815515966265,-0.7364018033776062,-0.6626663588439057,0.8324777457732314,-0.9056353783927013,0.14573538128842742,0.7255416025150709
Tamil Thalaivas,7,19.0,29,15,10.0,25.66,16.87,8.8,488.0,43.0,432.0,253.0,203.0,124.0,4.0,10.0,132.0,1.0987798110498443,-1.152761493285877,-0.9713162154444392,-0.20640340360202789,-1.9028674484166104,0.9004720516415105,-0.3455222266848305,-0.5020033159805566,-0.03258415059192948,-0.07604368052307142,-1.4020677823549128,-0.5859993624893949,-0.9035593639882492,-1.4730693141972653
Telugu Titans,7,16.0,8,14,7.0,26.42,16.0,10.43,453.0,33.0,403.0,224.0,192.0,128.0,4.0,19.0,146.0,0.0,-1.7291422399288152,-0.555623869838935,-0.6322633904805205,0.39466880411603694,-0.13568756942543245,-1.565012438513643,-1.07104942008881,-0.7885364443246934,-0.43453531727469236,-0.87629236397182,-0.5859993624893949,0.6703827539267657,-0.24184720083835698
U Mumba,7,16.0,5,15,20.0,26.26,16.4,9.87,433.0,55.0,459.0,246.0,192.0,135.0,6.0,15.0,148.0,0.0,0.7685076621905845,-0.6431380478611463,-0.4364656953639731,-0.39466880411603944,-0.7277787814636855,1.1178660275097445,0.02779822922367942,-0.21505539390673456,-0.43453531727469236,0.04381461819859231,0.05327266931721782,-0.029147076257685357,-0.06595832750137008
U.P. Yoddha,7,18.0,30,14,14.0,25.28,14.64,10.64,447.0,50.0,398.0,205.0,163.0,139.0,1.0,11.0,149.0,0.7325198740332296,-0.38425383109529226,-1.1791623882471904,-1.2979755538767839,0.6906704072030665,-0.3133149330369084,0.5081209215953383,-1.1691608173488537,-1.2838155333220216,-1.3796496323471477,0.569590036581685,-1.5449074101993139,-0.7286769064421365,0.02198610916712336
